order_item_id,order_id,product_id,quantity,unit_price
1,1001,101,2,25.00
2,1001,103,1,120.00
3,1002,102,1,80.00
4,1003,102,1,80.00
5,1003,104,3,12.50
6,1004,105,1,45.00
7,1004,108,2,9.90
8,1005,107,1,35.00
9,1006,103,1,120.00
10,1006,106,2,29.90
11,1007,101,1,25.00
12,1007,102,1,80.00
13,1008,105,1,45.00
14,1009,107,2,35.00
15,1009,108,4,9.90
16,1010,104,2,12.50
17,1010,106,1,29.90
18,1011,103,1,120.00
19,1012,101,3,25.00
20,1012,108,5,9.90
21,1013,105,2,45.00
22,1014,102,1,80.00
23,1014,106,1,29.90
24,1015,107,1,35.00
